,question,Actual Abstract,quest_emb,Predicted Abstract,Answer
162,When was Velikkakathu Sankaran Achuthanandan born?,Velikkakathu Sankaran Achuthanandan (born 20 October 1923) is a veteran Indian politician who was Chief Minister of Kerala from 2006 to 2011.,"[[-0.01890067  0.04943122  0.05670196 ...  0.0075089   0.04723751
  -0.00151044]]",Velikkakathu Sankaran Achuthanandan (born 20 October 1923) is a veteran Indian politician who was Chief Minister of Kerala from 2006 to 2011.,20 October 1923
163,Who was the third Chief Minister of Kerala from 1962 to 1964?,R. Sankar (30 April 1909 – 7 November 1972) was the third Chief Minister of Kerala from 1962 to 1964.,"[[-0.01890067  0.05078359  0.2081593  ...  0.0043841   0.04980251
   0.09452377]]",R. Sankar (30 April 1909 – 7 November 1972) was the third Chief Minister of Kerala from 1962 to 1964.,R. Sankar (30 April 1909 – 7 November 1972) was the third Chief Minister of Kerala from 1962 to 1964.
164,Name an Indian politician who is the current Chief Minister of Kerala?,"Pinarayi Vijayan (born 24 May 1944 in Pinarayi) is an Indian politician who is the current Chief Minister of Kerala, serving since 25 May 2016.","[[-0.02874381  0.08405331  0.24981248 ... -0.00697119  0.02361174
   0.08284827]]","Arackaparambil Kurien Antony, better known as A. K. Antony (born 28 December 1940) is an Indian politician and attorney who was the 23rd Defence Minister of India and he was also the Chief Minister of Kerala.",Answer not found!
165,Name an English composer and impresario of musical theatre?,"Andrew Lloyd Webber, Baron Lloyd-Webber (born 22 March 1948) is an English composer and impresario of musical theatre.",[[0.03060674 0.08123273 0.00121134 ... 0.06900488 0.0519334  0.07265855]],"Andrew Lloyd Webber, Baron Lloyd-Webber (born 22 March 1948) is an English composer and impresario of musical theatre.",Andrew Lloyd Webber
166,What is Sir Edward Richard George Heath often known as?,"Sir Edward Richard George Heath  (9 July 1916 – 17 July 2005), often known as Ted Heath, was a British politician who served as Prime Minister of the United Kingdom from 1970 to 1974 and Leader of the Conservative Party from 1965 to 1975.","[[-0.02042911  0.1297678   0.11358793 ...  0.02751276  0.1092979
   0.05117181]]","William Cecil, 1st Baron Burghley also known as Lord Burghley.",Answer not found!
167,Name a British Conservative politician who served as Prime Minister of the United Kingdom from 1957 to 1963?,"Maurice Harold Macmillan, 1st Earl of Stockton,  (10 February 1894 – 29 December 1986) was a British Conservative politician who served as Prime Minister of the United Kingdom from 1957 to 1963.","[[ 0.01666664  0.04943122  0.12583087 ... -0.01258784  0.02750529
   0.15799566]]","Maurice Harold Macmillan, 1st Earl of Stockton,  (10 February 1894 – 29 December 1986) was a British Conservative politician who served as Prime Minister of the United Kingdom from 1957 to 1963.",Maurice Harold Macmillan
168,Who is Arthur Neville Chamberlain?,Arthur Neville Chamberlain  (; 18 March 1869 – 9 November 1940) was a British Conservative politician who served as Prime Minister of the United Kingdom from May 1937 to May 1940.,"[[-0.02042911  0.04943122  0.08323227 ...  0.02136815 -0.00979789
   0.0135151 ]]","Howard William Meeker, C.M.",Answer not found!
169,Name a a Belgian journalist and politician of the New Flemish Alliance?,Johan Van Overtveldt (born 24 August 1955) is a Belgian journalist and politician of the New Flemish Alliance (N-VA).,[[0.01666664 0.04943122 0.06506339 ... 0.0148332  0.03701458 0.08473988]],Johan Van Overtveldt (born 24 August 1955) is a Belgian journalist and politician of the New Flemish Alliance (N-VA).,Johan Van Overtveldt 
170,Who is Beatrix Amelie Ehrengard Eilika von Storch?,Beatrix Amelie Ehrengard Eilika von Storch (née Duchess of Oldenburg; 27 May 1971) is a German politician who has been Deputy Leader of the Alternative for Germany since July 2015 and Member of the Bundestag since September 2017.,"[[-0.01654967  0.04943122 -0.00152124 ...  0.05054942  0.03498489
   0.02315252]]",Barbara is a 2012 German drama film directed by Christian Petzold.,Answer not found!
171,"Name a Finnish politician who served as Minister for European Affairs, Culture and Sports?","Sampo Terho (Born 20 September 1977) is a Finnish politician who served as Minister for European Affairs, Culture and Sports.",[[0.08208907 0.04943122 0.1330825  ... 0.02946631 0.02763924 0.10870641]],Winston Raymond Peters  (born 11 April 1945) is a New Zealand politician who has served since 2017 as the Deputy Prime Minister of New Zealand and Minister of Foreign Affairs.,Answer not found!
172,When was Dr Timothy Charles Ayrton Tannock born?,"Dr Timothy Charles Ayrton Tannock  (born 25 September 1957) is a British politician, psychiatrist, and former Member of the European Parliament for London for the Conservative Party.","[[-0.01890067  0.04943122  0.14815451 ...  0.02436232  0.01928752
   0.01435438]]","Dr Timothy Charles Ayrton Tannock  (born 25 September 1957) is a British politician, psychiatrist, and former Member of the European Parliament for London for the Conservative Party.",25 September 1957
173,Name a Belgian politician of the New Flemish Alliance (N-VA) and member of the European Parliament?,Helga Stevens (born 9 August 1968) is a Belgian politician of the New Flemish Alliance (N-VA) and member of the European Parliament since 2014.,[[0.01666664 0.13378297 0.08868933 ... 0.05775044 0.03409055 0.08787774]],Helga Stevens (born 9 August 1968) is a Belgian politician of the New Flemish Alliance (N-VA) and member of the European Parliament since 2014.,Helga Stevens 
174,Who is Monica Luisa Macovei?,"Monica Luisa Macovei (Romanian pronunciation: [moˈnika luˈisa makoˈvej]; born 4 February 1959) is a Romanian politician, lawyer and former prosecutor, currently a Member of the European Parliament from the European Conservatives and Reformists and formerly a member of the Romanian Democratic Liberal Party.","[[-0.02042911  0.11150837 -0.09277557 ...  0.02444712 -0.05288429
  -0.01555766]]",Alexander Bell (A.B.),Answer not found!
175,When was Jussi Kristian Halla-aho born?,Jussi Kristian Halla-aho (born 27 April 1971) is a Finnish politician and a member of the Parliament of Finland  (MP).,"[[ 0.03462509  0.04943122 -0.14576186 ... -0.01258784  0.08084682
   0.03394522]]",Jussi Kristian Halla-aho (born 27 April 1971) is a Finnish politician and a member of the Parliament of Finland  (MP).,27 April 1971
176,When was Thakur Artha Niranjan Joseph De Silva Deva Aditya born?,"Thakur Artha Niranjan Joseph De Silva Deva Aditya,  (born 11 May 1948), known as Nirj Deva, is a British politician.","[[ 0.05729385  0.04943122  0.12396504 ... -0.01258786  0.03795807
   0.03447862]]","Thakur Artha Niranjan Joseph De Silva Deva Aditya,  (born 11 May 1948), known as Nirj Deva, is a British politician.",11 May 1948
177,Name a Dutch politician and former Member of the European Parliament (MEP) from the Netherlands?,"Bastiaan ""Bas"" Belder (born 25 October 1946) is a Dutch politician and former Member of the European Parliament (MEP) from the Netherlands.",[[0.02118427 0.08651958 0.06545187 ... 0.04714486 0.03066173 0.08821901]],Anders Primdahl Vistisen (born 12 November 1987) is a Danish politician and former Member of the European Parliament (MEP) from Denmark.,Answer not found!
178,Who is Nikolay Tihomirov Barekov?,"Nikolay Tihomirov Barekov (Bulgarian: Николай Тихомиров Бареков) (born 16 October 1972) is a Bulgarian journalist, politician, and businessman.","[[-0.02042911  0.04943122 -0.13617349 ... -0.01258786 -0.05484401
   0.00142893]]",Cr.,Answer not found!
179,Name an American retired professional basketball player who played 15 seasons in the National Basketball Association (NBA)?,"Douglas Dale Christie (born May 9, 1970) is an American retired professional basketball player who played 15 seasons in the National Basketball Association (NBA).","[[-0.00713304  0.04943122  0.2008556  ...  0.04042483  0.05202289
   0.09365049]]","Douglas Dale Christie (born May 9, 1970) is an American retired professional basketball player who played 15 seasons in the National Basketball Association (NBA).",Douglas Dale Christie 
180,When did Sinclair McKnight Stevens die?,"Sinclair McKnight Stevens,  (February 11, 1927 – November 30, 2016) was a Canadian lawyer, businessman and cabinet minister.","[[-0.00755106  0.04943122 -0.06224424 ... -0.01258786 -0.01875167
  -0.00461888]]",Thos.,Answer not found!
181,"Name a Canadian political activist, tax reform advocate, politician, and author?","Jean-Serge Brisson (born June 28, 1954) is a Canadian political activist, tax reform advocate, politician, and author.","[[ 0.04194167  0.04943122  0.17821972 ... -0.01258784  0.00514086
   0.1319729 ]]","Jean-Serge Brisson (born June 28, 1954) is a Canadian political activist, tax reform advocate, politician, and author.",Jean-Serge Brisson 
182,When was Rodney Sturt Taylor born?,Rodney Sturt Taylor (11 January 1930 – 7 January 2015) was an Australian-American actor.,"[[-0.01890067  0.1803933   0.12967792 ...  0.02876305 -0.03413382
   0.04874126]]",Rodney Sturt Taylor (11 January 1930 – 7 January 2015) was an Australian-American actor.,January 1930 –
183,"Name a Canadian political activist and former school trustee in Surrey, British Columbia?","Heather Stilwell (January 26, 1944 – December 3, 2010) was a Canadian political activist and former school trustee in Surrey, British Columbia.",[[0.04194167 0.10698117 0.06641    ... 0.02355599 0.0319155  0.1340893 ]],"Heather Stilwell (January 26, 1944 – December 3, 2010) was a Canadian political activist and former school trustee in Surrey, British Columbia.",Heather Stilwell 
184,Who is Edward John Vanwoudenberg?,"Edward John Vanwoudenberg is a Canadian minor-party politician, and was head of the Christian Heritage Party of Canada, from the party's founding convention in 1987 until 1991.","[[-0.02042911  0.04943122 -0.06498159 ... -0.01258786  0.04009838
   0.01080244]]",Thos.,Answer not found!
185,Name a Canadian economist and politician who served as the 22nd prime minister of Canada?,"Stephen Joseph Harper   (born April 30, 1959) is a Canadian economist and politician who served as the 22nd prime minister of Canada for nearly a decade, from February 6, 2006, to November 4, 2015.","[[ 0.04194167  0.04943122  0.09592225 ... -0.01258786  0.0214348
   0.1298438 ]]","Stephen Joseph Harper   (born April 30, 1959) is a Canadian economist and politician who served as the 22nd prime minister of Canada for nearly a decade, from February 6, 2006, to November 4, 2015.",Stephen Joseph Harper   
186,When did Elsie Eleanore Wayne die?,"Elsie Eleanore Wayne (née Fairweather; April 20, 1932 – August 23, 2016) was a Canadian politician who served as a Progressive Conservative member of parliament for Saint John from 1993 to 2004.","[[-0.02874381  0.10405421 -0.10027707 ... -0.01258786 -0.06795799
  -0.04156346]]",Thos.,Answer not found!
187,"What is John James Charest, a Canadian politician who served as the 29th premier of Quebec known as?","John James Charest  (born June 24, 1958), known as Jean Charest, is a Canadian politician who served as the 29th premier of Quebec, from 2003 to 2012; the deputy prime minister of Canada from June 25, 1993, until November 4, 1993; the leader of the federal Progressive Conservative Party of Canada from 1993 to 1998; and the leader of the Quebec Liberal Party from 1998 to 2012.","[[-0.02042911  0.11037178  0.08706139 ... -0.01258784  0.05513608
   0.10842694]]","John James Charest  (born June 24, 1958), known as Jean Charest, is a Canadian politician who served as the 29th premier of Quebec, from 2003 to 2012; the deputy prime minister of Canada from June 25, 1993, until November 4, 1993; the leader of the federal Progressive Conservative Party of Canada from 1993 to 1998; and the leader of the Quebec Liberal Party from 1998 to 2012.",
188,"Who is a Canadian politician, diplomat, lawyer and writer who served as the 19th prime minister of Canada?","Avril Phaedra Douglas ""Kim"" Campbell  (born March 10, 1947) is a Canadian politician, diplomat, lawyer and writer who served as the 19th prime minister of Canada from June 25, 1993, to November 4, 1993.",[[0.00129931 0.05585055 0.10136673 ... 0.02581895 0.03737106 0.09868214]],"Avril Phaedra Douglas ""Kim"" Campbell  (born March 10, 1947) is a Canadian politician, diplomat, lawyer and writer who served as the 19th prime minister of Canada from June 25, 1993, to November 4, 1993.","Avril Phaedra Douglas ""Kim"" Campbell  (born March 10, 1947) is a Canadian politician, diplomat, lawyer and writer who served as the 19th prime minister of Canada from June 25, 1993, to November 4, 1993."
189,When was Martin Brian Mulroney born?,"Martin Brian Mulroney  (; born March 20, 1939) is a Canadian politician who served as the 18th prime minister of Canada from September 17, 1984, to June 25, 1993.","[[-0.01890067  0.04943122  0.08892037 ...  0.02039742 -0.00901468
   0.04144781]]",Clive Doucet (born 1946) is a Canadian writer and politician.,Answer not found!
